Id,Type,Name,Regular price,Parent,Allow customer review,In Stock?,Visible,Published,Attribute 0 Name,Attribute 0 value(s),Attribute 0 global,Attribute 1 Name,Attribute 1 value(s),Attribute 1 global,Attribute 2 Name,Attribute 2 value(s),Attribute 2 global
140,Variable,MM-3CR,0,,1,1,1,1,Axis,"Single Axis (X), Dual Axis-Flat (XY), Dual Axis-Edge Mount (XZ), Three Axis (XYZ)",1,Vacuum Compatibility,"10^-3 Torr, 10^-6 Torr",1,Actuator,"80 TPI Thumbscrew, Headless Lead Screw, Thumb Grip",1
,Variation,MM-3CR,283,id:140,1,1,1,1,Axis,Single Axis (X),1,Vacuum Compatibility,10^-3 Torr,1,Actuator,80 TPI Thumbscrew,1
,Variation,MM-3CR,303,id:140,1,1,1,1,Axis,Single Axis (X),1,Vacuum Compatibility,10^-3 Torr,1,Actuator,Headless Lead Screw,1
,Variation,MM-3CR,303,id:140,1,1,1,1,Axis,Single Axis (X),1,Vacuum Compatibility,10^-3 Torr,1,Actuator,Thumb Grip,1
,Variation,MM-3CR,303,id:140,1,1,1,1,Axis,Single Axis (X),1,Vacuum Compatibility,10^-6 Torr,1,Actuator,80 TPI Thumbscrew,1
,Variation,MM-3CR,323,id:140,1,1,1,1,Axis,Single Axis (X),1,Vacuum Compatibility,10^-6 Torr,1,Actuator,Headless Lead Screw,1
,Variation,MM-3CR,323,id:140,1,1,1,1,Axis,Single Axis (X),1,Vacuum Compatibility,10^-6 Torr,1,Actuator,Thumb Grip,1
,Variation,MM-3CR,571,id:140,1,1,1,1,Axis,Dual Axis-Flat (XY),1,Vacuum Compatibility,10^-3 Torr,1,Actuator,80 TPI Thumbscrew,1
,Variation,MM-3CR,611,id:140,1,1,1,1,Axis,Dual Axis-Flat (XY),1,Vacuum Compatibility,10^-3 Torr,1,Actuator,Headless Lead Screw,1
,Variation,MM-3CR,611,id:140,1,1,1,1,Axis,Dual Axis-Flat (XY),1,Vacuum Compatibility,10^-3 Torr,1,Actuator,Thumb Grip,1
,Variation,MM-3CR,611,id:140,1,1,1,1,Axis,Dual Axis-Flat (XY),1,Vacuum Compatibility,10^-6 Torr,1,Actuator,80 TPI Thumbscrew,1
,Variation,MM-3CR,651,id:140,1,1,1,1,Axis,Dual Axis-Flat (XY),1,Vacuum Compatibility,10^-6 Torr,1,Actuator,Headless Lead Screw,1
,Variation,MM-3CR,651,id:140,1,1,1,1,Axis,Dual Axis-Flat (XY),1,Vacuum Compatibility,10^-6 Torr,1,Actuator,Thumb Grip,1
,Variation,MM-3CR,621,id:140,1,1,1,1,Axis,Dual Axis-Edge Mount (XZ),1,Vacuum Compatibility,10^-3 Torr,1,Actuator,80 TPI Thumbscrew,1
,Variation,MM-3CR,661,id:140,1,1,1,1,Axis,Dual Axis-Edge Mount (XZ),1,Vacuum Compatibility,10^-3 Torr,1,Actuator,Headless Lead Screw,1
,Variation,MM-3CR,661,id:140,1,1,1,1,Axis,Dual Axis-Edge Mount (XZ),1,Vacuum Compatibility,10^-3 Torr,1,Actuator,Thumb Grip,1
,Variation,MM-3CR,661,id:140,1,1,1,1,Axis,Dual Axis-Edge Mount (XZ),1,Vacuum Compatibility,10^-6 Torr,1,Actuator,80 TPI Thumbscrew,1
,Variation,MM-3CR,701,id:140,1,1,1,1,Axis,Dual Axis-Edge Mount (XZ),1,Vacuum Compatibility,10^-6 Torr,1,Actuator,Headless Lead Screw,1
,Variation,MM-3CR,701,id:140,1,1,1,1,Axis,Dual Axis-Edge Mount (XZ),1,Vacuum Compatibility,10^-6 Torr,1,Actuator,Thumb Grip,1
,Variation,MM-3CR,909,id:140,1,1,1,1,Axis,Three Axis (XYZ),1,Vacuum Compatibility,10^-3 Torr,1,Actuator,80 TPI Thumbscrew,1
,Variation,MM-3CR,969,id:140,1,1,1,1,Axis,Three Axis (XYZ),1,Vacuum Compatibility,10^-3 Torr,1,Actuator,Headless Lead Screw,1
,Variation,MM-3CR,969,id:140,1,1,1,1,Axis,Three Axis (XYZ),1,Vacuum Compatibility,10^-3 Torr,1,Actuator,Thumb Grip,1
,Variation,MM-3CR,969,id:140,1,1,1,1,Axis,Three Axis (XYZ),1,Vacuum Compatibility,10^-6 Torr,1,Actuator,80 TPI Thumbscrew,1
,Variation,MM-3CR,1029,id:140,1,1,1,1,Axis,Three Axis (XYZ),1,Vacuum Compatibility,10^-6 Torr,1,Actuator,Headless Lead Screw,1
,Variation,MM-3CR,1029,id:140,1,1,1,1,Axis,Three Axis (XYZ),1,Vacuum Compatibility,10^-6 Torr,1,Actuator,Thumb Grip,1
